Snack Name,Sweetness Level,Crunchiness Level
Chocolate Bar,8,6
Gummy Bears,9,3
Potato Chips,2,9
Cookies,7,5
Candy Cane,10,2
Pretzels,3,8
Ice Cream,9,1
Granola Bar,6,7
Cheese Puffs,3,9
Fruit Snacks,8,4
Marshmallows,10,2
Rice Cakes,4,6
Popcorn,5,8
Chocolate Chip Cookies,8,6
Jelly Beans,9,2
Nachos,3,9
Cupcakes,7,4
Peanuts,2,9
Trail Mix,6,6
Brownies,8,5
Cheese Sticks,4,8
Lollipops,10,1
Pretzel Sticks,3,8
Donuts,9,3
Chips,2,9
Taffy,8,2
Corn Chips,3,7
Cereal Bars,5,6
Fruit Roll-Ups,7,4
Doritos,2,8
Macarons,9,2
Sour Candy,9,3
Nuts,4,8
Cake Pops,8,4
Pop Tarts,6,5
Skittles,9,3
Cheese Balls,3,9
Apple Slices,2,5
Biscotti,7,6
Marzipan,8,2
Fudge,9,1
Pita Chips,3,8
Wafers,6,4
Chocolate Covered Pretzels,8,6
Cupcakes,7,5
Sugar Cookies,9,3
Granola Bars,5,7
Fruit Bars,6,5
Cinnamon Rolls,8,4
Bagels,2,7
Peanut Butter Cups,9,2
Caramel Corn,7,6
Fig Newtons,6,4
Chocolate Pretzels,8,5
Ice Cream Sandwiches,9,2
Donut Holes,7,5
Cookies and Cream,8,4
Chewy Candy,9,2
Carrot Sticks,1,5
Pancakes,6,5
Scones,7,4
Gingersnaps,8,5

